area,party,year,validVotes,personalVotes,listedMen,listedWomen,electedMen,electedWomen
Copenhagen,Social Democratic Party,2005,89639,74500,24,16,14,7
Copenhagen,Social Democratic Party,2009,68707,52650,27,8,11,6
Copenhagen,Social Democratic Party,2013,76524,55107,23,10,13,3
Copenhagen,Social Democratic Party,2017,82819,57026,24,11,10,5
Copenhagen,Social Liberal Party,2005,28255,19914,12,6,3,4
Copenhagen,Social Liberal Party,2009,19424,14852,11,7,2,3
Copenhagen,Social Liberal Party,2013,30843,17999,12,6,3,3
Copenhagen,Social Liberal Party,2017,26725,15515,8,8,1,4
Copenhagen,Conservative Peoples Party,2005,14534,8871,14,8,2,1
Copenhagen,Conservative Peoples Party,2009,16163,8915,8,3,3,1
Copenhagen,Conservative Peoples Party,2013,13860,9477,8,6,2,1
Copenhagen,Conservative Peoples Party,2017,16792,9658,9,8,1,2
Copenhagen,Nye Borgerlige,2005,0,0,0,0,0,0
Copenhagen,Nye Borgerlige,2009,0,0,0,0,0,0
Copenhagen,Nye Borgerlige,2013,0,0,0,0,0,0
Copenhagen,Nye Borgerlige,2017,2874,1456,3,2,0,0
Copenhagen,Socialist Peoples Party,2005,26755,14788,17,8,3,4
Copenhagen,Socialist Peoples Party,2009,50966,21239,18,14,4,9
Copenhagen,Socialist Peoples Party,2013,27547,17443,13,8,2,4
Copenhagen,Socialist Peoples Party,2017,24830,14776,12,8,1,4
Copenhagen,Liberal Alliance,2005,0,0,0,0,0,0
Copenhagen,Liberal Alliance,2009,2024,1429,6,1,0,0
Copenhagen,Liberal Alliance,2013,10632,5270,6,4,1,1
Copenhagen,Liberal Alliance,2017,11822,6869,5,4,1,1
Copenhagen,Danish Peoples Party (1997-),2005,14018,9272,4,6,1,2
Copenhagen,Danish Peoples Party (1997-),2009,17700,9361,5,5,2,2
Copenhagen,Danish Peoples Party (1997-),2013,20391,10143,6,4,3,1
Copenhagen,Danish Peoples Party (1997-),2017,15082,7473,6,4,2,1
Copenhagen,The Slesvig Party,2005,0,0,0,0,0,0
Copenhagen,The Slesvig Party,2009,0,0,0,0,0,0
Copenhagen,The Slesvig Party,2013,0,0,0,0,0,0
Copenhagen,The Slesvig Party,2017,0,0,0,0,0,0
Copenhagen,Liberal Democratic Party,2005,33186,25158,22,7,6,2
Copenhagen,Liberal Democratic Party,2009,21504,12613,13,5,3,3
Copenhagen,Liberal Democratic Party,2013,31442,19550,10,7,3,4
Copenhagen,Liberal Democratic Party,2017,23652,12126,9,7,3,2
Copenhagen,Unity List,2005,22764,10643,16,12,4,2
Copenhagen,Unity List,2009,25016,11973,15,13,3,3
Copenhagen,Unity List,2013,53672,22403,16,12,6,5
Copenhagen,Unity List,2017,55241,21165,12,16,6,5
Copenhagen,The Alternative,2005,0,0,0,0,0,0
Copenhagen,The Alternative,2009,0,0,0,0,0,0
Copenhagen,The Alternative,2013,0,0,0,0,0,0
Copenhagen,The Alternative,2017,31553,18374,11,6,3,3
Copenhagen,"Letters not reserved, total",2005,9382,5065,108,44,0,0
Copenhagen,"Letters not reserved, total",2009,8245,3917,93,39,0,0
Copenhagen,"Letters not reserved, total",2013,10775,6774,63,36,0,0
Copenhagen,"Letters not reserved, total",2017,8826,5065,53,25,0,0
Frederiksberg,Social Democratic Party,2005,8364,4665,10,6,2,3
Frederiksberg,Social Democratic Party,2009,9875,5497,8,6,2,4
Frederiksberg,Social Democratic Party,2013,10122,6270,9,6,1,3
Frederiksberg,Social Democratic Party,2017,9507,5827,6,6,2,2
Frederiksberg,Social Liberal Party,2005,4740,2222,4,1,1,1
Frederiksberg,Social Liberal Party,2009,2982,1406,7,5,0,1
Frederiksberg,Social Liberal Party,2013,5467,3095,7,3,2,0
Frederiksberg,Social Liberal Party,2017,5738,3799,5,2,2,1
Frederiksberg,Conservative Peoples Party,2005,22403,19360,13,10,7,6
Frederiksberg,Conservative Peoples Party,2009,19949,13229,16,9,7,5
Frederiksberg,Conservative Peoples Party,2013,20646,14001,17,7,7,3
Frederiksberg,Conservative Peoples Party,2017,21995,14717,17,9,7,4
Frederiksberg,Nye Borgerlige,2005,0,0,0,0,0,0
Frederiksberg,Nye Borgerlige,2009,0,0,0,0,0,0
Frederiksberg,Nye Borgerlige,2013,0,0,0,0,0,0
Frederiksberg,Nye Borgerlige,2017,326,106,3,1,0,0
Frederiksberg,Socialist Peoples Party,2005,4969,2528,4,2,1,1
Frederiksberg,Socialist Peoples Party,2009,9212,3886,6,4,2,2
Frederiksberg,Socialist Peoples Party,2013,4892,3142,7,2,1,1
Frederiksberg,Socialist Peoples Party,2017,3660,2085,9,3,1,0
Frederiksberg,Liberal Alliance,2005,0,0,0,0,0,0
Frederiksberg,Liberal Alliance,2009,167,65,2,0,0,0
Frederiksberg,Liberal Alliance,2013,2919,1732,4,1,0,1
Frederiksberg,Liberal Alliance,2017,2161,1437,7,1,0,1
Frederiksberg,Danish Peoples Party (1997-),2005,1723,830,6,1,0,0
Frederiksberg,Danish Peoples Party (1997-),2009,1794,938,2,1,0,0
Frederiksberg,Danish Peoples Party (1997-),2013,2288,1150,4,1,1,0
Frederiksberg,Danish Peoples Party (1997-),2017,1269,482,3,1,0,0
Frederiksberg,The Slesvig Party,2005,0,0,0,0,0,0
Frederiksberg,The Slesvig Party,2009,0,0,0,0,0,0
Frederiksberg,The Slesvig Party,2013,0,0,0,0,0,0
Frederiksberg,The Slesvig Party,2017,0,0,0,0,0,0
Frederiksberg,Liberal Democratic Party,2005,2836,1375,11,2,1,0
Frederiksberg,Liberal Democratic Party,2009,2719,1638,7,3,1,0
Frederiksberg,Liberal Democratic Party,2013,4306,2663,9,5,1,1
Frederiksberg,Liberal Democratic Party,2017,3748,2677,11,5,1,0
Frederiksberg,Unity List,2005,3600,1667,5,6,1,1
Frederiksberg,Unity List,2009,3158,1569,6,6,1,0
Frederiksberg,Unity List,2013,6795,2883,8,7,2,1
Frederiksberg,Unity List,2017,7168,3088,13,13,2,1
Frederiksberg,The Alternative,2005,0,0,0,0,0,0
Frederiksberg,The Alternative,2009,0,0,0,0,0,0
Frederiksberg,The Alternative,2013,0,0,0,0,0,0
Frederiksberg,The Alternative,2017,3267,1895,3,3,0,1
Frederiksberg,"Letters not reserved, total",2005,395,186,4,2,0,0
Frederiksberg,"Letters not reserved, total",2009,343,165,9,0,0,0
Frederiksberg,"Letters not reserved, total",2013,325,208,4,0,0,0
Frederiksberg,"Letters not reserved, total",2017,459,237,8,1,0,0
Dragør,Social Democratic Party,2005,1156,851,12,7,1,2
Dragør,Social Democratic Party,2009,1671,1348,11,5,3,1
Dragør,Social Democratic Party,2013,1545,1079,7,8,3,0
Dragør,Social Democratic Party,2017,1276,976,8,4,2,1
Dragør,Social Liberal Party,2005,337,240,3,1,0,0
Dragør,Social Liberal Party,2009,208,137,4,2,0,0
Dragør,Social Liberal Party,2013,304,208,2,4,0,0
Dragør,Social Liberal Party,2017,278,202,3,3,0,0
Dragør,Conservative Peoples Party,2005,2529,2165,12,7,5,1
