date,country,cases,deaths,icu_patients,hosp_patients,tests,positive_rate,vac,fully_vac,population,month,year
2020-02-02,Denmark,NA,NA,NA,NA,1,NA,NA,NA,5813302,2,2020
2020-02-03,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-04,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-05,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-06,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-07,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-08,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-09,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-10,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-11,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-12,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-13,Denmark,NA,NA,NA,NA,2,NA,NA,NA,5813302,2,2020
2020-02-14,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-15,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-16,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-17,Denmark,NA,NA,NA,NA,3,NA,NA,NA,5813302,2,2020
2020-02-18,Denmark,NA,NA,NA,NA,5,NA,NA,NA,5813302,2,2020
2020-02-19,Denmark,NA,NA,NA,NA,7,NA,NA,NA,5813302,2,2020
2020-02-20,Denmark,NA,NA,NA,NA,8,NA,NA,NA,5813302,2,2020
2020-02-21,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
2020-02-22,Denmark,NA,NA,NA,NA,9,NA,NA,NA,5813302,2,2020
2020-02-23,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,5813302,2,2020
