ship,job_id,job_desc,item_id,item_name,item_quantity,item_manufaturer,component_id,component_desc,done_date,year,days
Ship-20,2379,"ME Exh. Gas outlet temp. cyl,#1 sensor pocket and wire cable",601.001.001,"Thermocouple TC-87-02,  Model: MPT 100K, Type: K, Temp :0-600 'C, Class:B, Tube:",1,"CMR KOREA CO.,LTD",601.001.01,Main Engine,2018-08-14,2018,NA
Ship-21,1899,M.E cylinder no.4 exhaust gas temperature thermocouple replacement,601.001.001,"Thermocouple TC-87-02,  Model: MPT 100K, Type: K, Temp :0-600 'C, Class:B, Tube:",1,"CMR KOREA CO.,LTD",601.002.04,ME Cylinder Cover No 4,2016-12-20,2016,NA
Ship-11,1915,NA,601.002.003,Cylinder Cover IMO Number 1845636-4,1,MAN B&W,601.002.05,Cylinder Cover 05,2015-07-06,2015,NA
Ship-10,2361,Renewal of jacket cooling gasket cyl unit no. 5,601.002.005,O-Ring,2,MAN B&W,601.002.05,Cylinder Cover 05,2018-01-11,2018,NA
Ship-10,498,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,0,MAN B&W,601.002.05,Cylinder Cover 05,2018-10-27,2018,289
Ship-10,87,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,0,MAN B&W,601.002.06,Cylinder Cover 06,2018-10-27,2018,0
Ship-10,496,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,0,MAN B&W,601.002.03,Cylinder Cover 03,2018-10-27,2018,0
Ship-10,494,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,0,MAN B&W,601.002.01,Cylinder Cover 01,2018-10-27,2018,0
Ship-10,499,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,0,MAN B&W,601.002.07,Cylinder Cover 07,2018-10-27,2018,0
Ship-10,497,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,0,MAN B&W,601.002.04,Cylinder Cover 04,2018-10-27,2018,0
Ship-10,87,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,1,MAN B&W,601.002.06,Cylinder Cover 06,2020-01-20,2020,450
Ship-10,506,24000H Overhauling the Cylinder Cover,601.002.005,O-Ring,1,MAN B&W,601.002.08,Cylinder Cover 08,2020-01-22,2020,2
Ship-11,1915,NA,601.002.005,O-Ring,2,MAN B&W,601.002.05,Cylinder Cover 05,2015-07-06,2015,NA
