ship,order_id,item_id,item_desc,quantity,price,order_date,delivery_date,delivery_place,received_date,supplier,delivery_cost,order_year
Ship-10,356515600201,601.026.018,"Back-up ring, PTFE",10,1843.3374999999999,2015-01-09,2015-01-14,Delivery Place-105,2015-01-23,Supplier-447,NA,2015
Ship-10,356515600201,601.026.027,"O-ring, Viton",10,321.0975,2015-01-09,2015-01-14,Delivery Place-105,2015-01-23,Supplier-447,NA,2015
Ship-10,356515600201,601.026.025,"O-ring, Viton",15,665.98,2015-01-09,2015-01-14,Delivery Place-105,2015-01-23,Supplier-447,NA,2015
Ship-10,356515600201,601.026.017,"O-ring, Viton",10,487.5925,2015-01-09,2015-01-14,Delivery Place-105,2015-01-23,Supplier-447,NA,2015
Ship-20,376415600201,601.001.001,"Thermocouple Type:K, Temp Range: 0-600° C, S/N: 16554, Class: B, Tube: SUS, Model: MPT 100K, Maker: CMR, Stem length: 200mm, Stem dia: 12mm, Fitting: 26mmø  pitch=1.75mm,",3,27001.773357000005,2015-01-19,2015-02-08,Delivery Place-84,2015-02-27,Supplier-703,887.5,2015
Ship-20,376415600301,601.028.010,High press. fuel oil pipe,2,99599.6875,2015-01-28,2015-02-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415600301,601.026.277,Steel pipe,1,2021.7250000000001,2015-01-28,2015-02-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415600301,601.028.001,High press. fuel oil pipe,2,99599.6875,2015-01-28,2015-02-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-20,376415600301,601.026.276,Steel pipe,1,2200.1125,2015-01-28,2015-02-20,Delivery Place-105,2015-04-30,Supplier-447,NA,2015
Ship-11,356715601001,601.002.075,W-seat,2,39780.4125,2015-01-29,2015-02-14,Delivery Place-105,2015-02-14,Supplier-447,NA,2015
Ship-11,356715601001,601.002.078,DuraSpindle,2,178387.5,2015-01-29,2015-02-14,Delivery Place-105,2015-02-14,Supplier-447,NA,2015
Ship-11,356715601001,601.002.073,Spring pin,2,237.85,2015-01-29,2015-02-14,Delivery Place-105,2015-02-14,Supplier-447,NA,2015
Ship-11,356715000501,601.042.202,Switch Board Unit SBU mk. II,2,34666.6375,2015-02-10,2015-02-15,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-20,376415601901,601.004.006,Piston Ring No. 2 & 4,14,5203.815709,2015-02-11,2015-02-13,Delivery Place-46,2015-03-01,Supplier-702,NA,2015
Ship-20,376415601901,601.003.013,Sealing Ring,30,92.68598795,2015-02-11,2015-02-13,Delivery Place-46,2015-03-01,Supplier-702,NA,2015
Ship-9,356415601901,601.002.088,Packing,40,237.85,2015-02-13,2015-02-18,Delivery Place-105,2015-03-09,Supplier-447,NA,2015
Ship-9,356415601901,601.002.084,Packing,40,237.85,2015-02-13,2015-02-18,Delivery Place-105,2015-03-09,Supplier-447,NA,2015
Ship-11,356715603401,601.002.158,Gasket,10,237.85,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.073,Spring pin,8,237.85,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.159,O-ring,10,237.85,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
Ship-11,356715603401,601.002.071,"O-ring, Viton",14,1070.325,2015-02-23,2015-02-26,Delivery Place-105,2015-04-01,Supplier-447,NA,2015
