product_id,product_desc,product_type,product_group_id,product_group_desc,material_id,material_quantity,material_unit,material_unit_price,material_valid_from,material_valid_to
P100160,CRATE DOM 30CL + BOTTLE 30CL BNR BROWN,Bottle,PG98,NO BRAND (ONLY FOR NON BEVERAGES),M15657,1000,I,0.16280995949479996,2023-02-15,9999-12-31
P100160,CRATE DOM 30CL + BOTTLE 30CL BNR BROWN,Bottle,PG98,NO BRAND (ONLY FOR NON BEVERAGES),M63992,24000,I,0.11774728980033702,2023-02-15,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M15665,14,I,3.2083589761866564,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51073841,1,KG,0.06243056239902067,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51130189,0,KG,0.13957666156270232,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51130304,28,I,0.05625771670571091,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51361448,3,KG,0.10227390762154853,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51375867,24000,I,0.14307375835231487,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51402730,24000,I,0.14258644086398928,2023-03-06,9999-12-31
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51419235,3,KG,0.07147192869882889,2024-01-24,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M15665,14,I,3.1132654327555147,2023-03-06,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51073841,1,KG,0.07613959620770973,2023-03-06,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51130304,28,I,0.02984960434640608,2023-03-06,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51361448,3,KG,0.11016429971053673,2023-03-06,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51375867,24000,I,0.12191835515984836,2023-03-06,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51402730,24000,I,0.08504190672873818,2023-03-06,9999-12-31
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51419235,3,KG,0.1283391475071361,2024-01-24,9999-12-31
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M15665,8,I,2.8054619316985807,2023-03-06,9999-12-31
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M50115526,13,KG,0.1306438712202318,2023-03-06,9999-12-31
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51130304,15,I,0.036952145748042516,2023-03-06,9999-12-31
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51375867,12000,I,0.16156722662485165,2023-03-06,9999-12-31
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51402730,12000,I,0.1550766038231273,2023-03-06,9999-12-31
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51419235,1,KG,0.13725537637121635,2024-01-24,9999-12-31
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51073841,1,KG,0.06491686485563852,2023-02-23,9999-12-31
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51130304,24,I,0.04390560523616986,2023-02-23,9999-12-31
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51170192,3,KG,0.10380773406288886,2023-02-23,9999-12-31
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51361448,3,KG,0.15909228064557546,2023-02-23,9999-12-31
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51372196,24000,I,0.23237847299336073,2023-02-23,9999-12-31
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51417918,24000,I,0.10886773348085509,2023-08-20,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M34906,19,I,2.2129371860386278,2023-03-08,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51073841,1,KG,0.05493226653840019,2023-03-08,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51130304,37,I,0.050248758582066816,2023-03-08,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51372196,24000,I,0.12970264592471256,2023-03-08,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51393157,3,KG,0.12799089638716077,2023-03-08,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51419235,3,KG,0.13768251784080626,2024-01-24,9999-12-31
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51422680,24000,I,0.10500027563746188,2023-11-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M15665,14,I,2.423383545234249,2023-03-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M51073841,1,KG,0.09185344684620468,2023-03-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M51130304,37,I,0.04439768788875488,2023-03-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M51361448,3,KG,0.18978987838327332,2023-03-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M51372196,24000,I,0.12971023619536146,2023-03-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M51402729,24000,I,0.16128498808562772,2023-03-08,9999-12-31
P100370,"CORO 0,0 OW 4x6 0,33L BOX BNFL LW",Bottle,PG35,CORONA,M51419235,3,KG,0.16388084580595838,2024-01-24,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M34906,19,I,1.8794187946821412,2023-03-08,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M51073841,1,KG,0.060844740973952566,2023-03-08,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M51130304,37,I,0.03742279718007075,2023-03-08,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M51372196,24000,I,0.0651354021362597,2023-03-08,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M51393157,3,KG,0.09723363817978631,2023-03-08,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M51402729,24000,I,0.1413573803075589,2023-03-08,9999-12-31
P100391,"CORO 0,0 OW 4X6 0,33L BOX LW NO/PL EPAL",Bottle,PG35,CORONA,M51419235,3,KG,0.1065084096155272,2024-01-24,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M15665,14,I,1.7871769993837145,2023-03-08,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M50115526,13,KG,0.20390404914964827,2023-03-08,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M51130189,0,KG,0.12397469774541026,2023-03-08,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M51130304,28,I,0.052028023244536786,2023-03-08,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M51311351,24000,I,0.17191758269628768,2023-03-08,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M51400764,24000,I,0.10886600992119001,2023-03-08,9999-12-31
P100394,"CORO EXTR OW 4X6 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M51419235,3,KG,0.1519625085162564,2024-01-24,9999-12-31
P100395,"CORO EXTR OW 12 0,33L BNFL CH CHEP LW",Bottle,PG35,CORONA,M15665,8,I,2.5688007334293292,2023-03-08,9999-12-31
P100395,"CORO EXTR OW 12 0,33L BNFL CH CHEP LW",Bottle,PG35,CORONA,M50115526,13,KG,0.10818032846591757,2023-03-08,9999-12-31
P100395,"CORO EXTR OW 12 0,33L BNFL CH CHEP LW",Bottle,PG35,CORONA,M51130304,13,I,0.052086342268697794,2023-03-08,9999-12-31
P100395,"CORO EXTR OW 12 0,33L BNFL CH CHEP LW",Bottle,PG35,CORONA,M51311351,12000,I,0.15563499792463226,2023-03-08,9999-12-31
P100395,"CORO EXTR OW 12 0,33L BNFL CH CHEP LW",Bottle,PG35,CORONA,M51400764,12000,I,0.10578176079919148,2023-03-08,9999-12-31
P100395,"CORO EXTR OW 12 0,33L BNFL CH CHEP LW",Bottle,PG35,CORONA,M51419235,1,KG,0.053513291685370626,2024-01-24,9999-12-31
P100396,"CORO EXTR OW 24 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M15665,14,I,2.1498969055512367,2023-03-08,9999-12-31
P100396,"CORO EXTR OW 24 0,33L BOX LW BNFL CHEP",Bottle,PG35,CORONA,M50115526,13,KG,0.10783938525019632,2023-03-08,9999-12-31
