material_id,material_desc,material_group_id,material_group_desc
M15657,CRATE DOMMELSCH RED       30CL,MG21102,POLYETHYLENE CRATES
M63992,BOTTLE 30CL BNR BROWN RETURN LIGHT,MG2010101,RETURNABLE BOTTLES
M15665,PALLET CHEP 1200x1000 MM (01),MG2130201,WOOD
M51073841,TOPSHEET LDPE 1800X500 NO PERF STRAPEX,MG2080203,STRECH WRAP AROUND
M51130189,GLUE Technomelt Supra 7220 PS Easyflow,MG2100101,HOT MELT GLUES
M51130304,SELF-ADHES PALLET LABEL NON WASHABLE 14,MG2140101,COLOR
M51361448,STRETCH FILM 1000 23�M ABI 741,MG2080204,STRETCH HOOD
M51375867,CRK CORO FLAV 200� PO 220 SCA,MG2050102,PRY-OFF
M51402730,BOT 0331 OW 33CL LW FL PO CORO FLAV,MG2010102,ONE WAY BOTTLES
M51419235,GLUE  HOTM 380 HENKEL SUPRA 166,MG2100101,HOT MELT GLUES
M50115526,STRETCH HOOD FILM 1100X750MM 100 MI,MG2080204,STRETCH HOOD
M51170192,GLUE HOTMELT TECHNOMELT SUPRA 150 PLUS,MG2100101,HOT MELT GLUES
M51372196,"CRC CORO 0,0 200� PO 220",MG2050102,PRY-OFF
M51417918,"BOT 0331 OW 33CL LW FL CORO 0,0 ARABIC",MG2010102,ONE WAY BOTTLES
M34906,PALLET EURO 1200x800MM RET EPAL IPPC,MG2130201,WOOD
M51393157,STRETCH HOOD FILM 1100X550MM 100�,MG2080204,STRETCH HOOD
M51422680,"BOT 0331 CORO 0,0 OW 33CL LW FL PO NORD",MG2010102,ONE WAY BOTTLES
M51402729,"BOT 0331 OW 33CL LW FL PO CORO 0,0 BNFL",MG2010102,ONE WAY BOTTLES
M51311351,CROWN CORK CORO EX 35.5CL/33CL 200�'19,MG2050102,PRY-OFF
M51400764,BOT 0331 OW 33CL FL PO26 COR LW BNFL,MG2010102,ONE WAY BOTTLES
M100334,PALLET IPP DEMI 1000x600 MM (B610),MG2130201,WOOD
M50119764,STRETCH HOOD FILM 580X550MM,MG2080204,STRETCH HOOD
M15805,PALLET CHEP EURO 1200x800 MM (03),MG2130201,WOOD
M50199034,GLUE HOTMELT SWIFTHERM ADVANTAGE 7711,MG2100101,HOT MELT GLUES
M51134234,GLUE SYNTHETIC ETIKETTEN AQUENCE XP 190,MG21002,LABELLING GLUES
M51214037,CROWN CAP LEFFE BLOND 200� VBI'18,MG2050102,PRY-OFF
M51226421,STRETCHFILM PPS 500/250/2110M 19#,MG2080203,STRECH WRAP AROUND
M51369197,BOTTLE OW 25CL PRIME LW,MG2010102,ONE WAY BOTTLES
M51410642,LBL FL 0308 LEFF BLON 25CL MET 2023,MG2040102,WHITE PAPER LABELS
M51402724,"BOT 0331 OW 33CL LW FL PO CORO 0,0 NORD",MG2010102,ONE WAY BOTTLES
M51400762,BOT 0331 OW 33CL FL PO26 CORO LW UKITTRE,MG2010102,ONE WAY BOTTLES
M51397706,BOT 0329 OW 33CL FL PO26 COR BNFL NOR CH,MG2010102,ONE WAY BOTTLES
M15470,PALLET P8 IPPC 1110X1210,MG2130201,WOOD
M15611,KEG CBW EURO SANKEY                 20LT,MG21201,STAINLESS STEEL KEGS
M50119857,SELF-ADHES PALLET LABEL COMPGLUE CRATE04,MG2140101,COLOR
M50121478,KEG CAP LEFFE BLONDE BEIGE ENGRAVE 64MM,MG20506,KEG CAPS
M15619,CRATE HOEGAARDEN BROWN    25CL,MG21102,POLYETHYLENE CRATES
M51238187,BOTTLE OW 25CL APO BROWN OW SP,MG2010102,ONE WAY BOTTLES
M15652,CRATE CBW BROWN                     33CL,MG21102,POLYETHYLENE CRATES
M50108398,BOTTLE OW 33L ABBOT AMBER DIEK,MG2010102,ONE WAY BOTTLES
M51303562,BOTTLE OW 33CL APO BROWN OW SP,MG2010102,ONE WAY BOTTLES
M15709,CRATE MULTIBRAND                    25CL,MG21102,POLYETHYLENE CRATES
M15722,CRATE LEFFE               33CL,MG21102,POLYETHYLENE CRATES
M51305623,BOTTLE OW 33CL AMELIE AMBER,MG2010102,ONE WAY BOTTLES
M51366526,BOTTLE OW 33CL AMELIE LW,MG2010102,ONE WAY BOTTLES
M51214298,CROWN CAP LEFFE RUBY 200� VBI'18,MG2050102,PRY-OFF
M51389419,LBL FL LEFFE RUBY 25CL OW FR KR '22,MG2040102,WHITE PAPER LABELS
M50113789,RETRACTABLE FILM LDPE 530/50,MG2080203,STRECH WRAP AROUND
M50119089,HALSETIK LEFFE RADIEUSE 25CL OW FR 1/03,MG2040102,WHITE PAPER LABELS
M50119474,PACK CL LEFFE RADIEUSE PROM PACK 25CL 03,MG2060103,FULLY ENCLOSED PREGL
M50120181,GLUE CASEINE AQUENCE GL 701 SCHUTZ CONT,MG2100201,CASEIN GLUES
M50120626,BOTTLE OW 25CL MONA AMBER PRY OFF,MG2010102,ONE WAY BOTTLES
M50120802,LABEL FRONT LEFFE RAD 25CL OW F 1/2005,MG2040102,WHITE PAPER LABELS
M50121319,CROWN CAP LEFFE RADIEUSE 2006,MG2050102,PRY-OFF
M50121362,GLUE HOTMELT NATIONAL 85,MG2100101,HOT MELT GLUES
M51171164,LABEL NECK BUD 300/330/250ML VBI,MG2040102,WHITE PAPER LABELS
M51176970,BOTTLE OW 25CL BUDWEISER,MG2010102,ONE WAY BOTTLES
M51249927,CROWN CORK BUD 200� 19,MG2050102,PRY-OFF
M51342958,LBL BL BUD 5% 25CL 0128 2020,MG2040102,WHITE PAPER LABELS
M51407234,LBL FL BUD 5% 250ML 2023,MG2040102,WHITE PAPER LABELS
M51421776,PCK CL 690 BUD 15X25CL PROMO,MG2060103,FULLY ENCLOSED PREGL
M51403266,BOT 0329 OW 33CL FL PO26 CORO INT 22,MG2010102,ONE WAY BOTTLES
M51142310,BOTTLE OW 25CL MONA AMBER LW PRY OFF'16,MG2010102,ONE WAY BOTTLES
M51422543,LBL NL 0036 LEFFE PR 1240 25CL,MG20404,ALU FOILS
M51422544,LBL FL 308 LEFFE PR 1240 25CL,MG2040102,WHITE PAPER LABELS
M51422546,CRC 210 LEFFE PR 1240 200� PO D26,MG2050102,PRY-OFF
M50120985,KEG CAP LEFFE BROWN ENGRAVED 64MM,MG20506,KEG CAPS
M50190631,STRETCHFILM STRAPEX BANDEROL 622.040.230,MG2080203,STRECH WRAP AROUND
M50116205,LABEL NECK LEFFE BLOND 25CL OW FR 1/2003,MG2040102,WHITE PAPER LABELS
M50121316,CROWN CAP LEFFE BLOND 1/2006,MG2050102,PRY-OFF
M50121459,PACK CL LEFFE BLOND 12+3X25CL FR 1/2006,MG2060103,FULLY ENCLOSED PREGL
M50161473,LABEL FRONT LEFFE BL 25CL OW B-FR 1/08,MG2040101,METALIZED PAPER LABE
M50121458,PACK CL LEFFE BL10+2 1X12X25CL OW F 1/06,MG2060103,FULLY ENCLOSED PREGL
M50121012,KEG CAP BECASSE KRIEK 1/2005,MG20506,KEG CAPS
M50113665,CROWN CAP BECASSE,MG2050102,PRY-OFF
M50120846,PACK CL BECASSE KRIEK PROMO 2X3X25CL 2/5,MG2060103,FULLY ENCLOSED PREGL
M50121587,LABEL FRONT BECASSE KRIEK 25CL OW 1/2007,MG2040102,WHITE PAPER LABELS
M50120377,PACK CL BECASSE FRAMBOISE PROMO 2X3X25CL,MG2060103,FULLY ENCLOSED PREGL
M50121586,LABEL FRONT BECASSE FRAMB 25CL OW 1/2007,MG2040102,WHITE PAPER LABELS
M15721,BOTTLE 33CL APO BROWN RETURN,MG2010101,RETURNABLE BOTTLES
