product_id,product_desc,product_type,product_group_id,product_group_desc,material_id,material_quantity,material_unit,material_unit_price,material_valid_from,material_valid_to,material_cost
P100160,CRATE DOM 30CL + BOTTLE 30CL BNR BROWN,Bottle,PG98,NO BRAND (ONLY FOR NON BEVERAGES),M15657,1000,I,0.16280995949479996,2023-02-15,9999-12-31,162.80995949479995
P100160,CRATE DOM 30CL + BOTTLE 30CL BNR BROWN,Bottle,PG98,NO BRAND (ONLY FOR NON BEVERAGES),M63992,24000,I,0.11774728980033702,2023-02-15,9999-12-31,2825.9349552080885
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M15665,14,I,3.2083589761866564,2023-03-06,9999-12-31,44.91702566661319
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51073841,1,KG,0.06243056239902067,2023-03-06,9999-12-31,0.06243056239902067
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51130304,28,I,0.05625771670571091,2023-03-06,9999-12-31,1.5752160677599056
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51361448,3,KG,0.10227390762154852,2023-03-06,9999-12-31,0.30682172286464554
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51375867,24000,I,0.14307375835231487,2023-03-06,9999-12-31,3433.7702004555567
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51402730,24000,I,0.14258644086398928,2023-03-06,9999-12-31,3422.0745807357425
P100297,CORO FLAV OW 4X6X33CL FR LW,Bottle,PG35,CORONA,M51419235,3,KG,0.07147192869882889,2024-01-24,9999-12-31,0.21441578609648665
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M15665,14,I,3.1132654327555147,2023-03-06,9999-12-31,43.585716058577205
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51073841,1,KG,0.07613959620770973,2023-03-06,9999-12-31,0.07613959620770973
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51130304,28,I,0.02984960434640608,2023-03-06,9999-12-31,0.8357889216993702
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51361448,3,KG,0.11016429971053672,2023-03-06,9999-12-31,0.3304928991316102
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51375867,24000,I,0.12191835515984836,2023-03-06,9999-12-31,2926.0405238363605
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51402730,24000,I,0.08504190672873818,2023-03-06,9999-12-31,2041.0057614897164
P100298,CORO FLAV OW 8X3X33CL FR LW,Bottle,PG35,CORONA,M51419235,3,KG,0.1283391475071361,2024-01-24,9999-12-31,0.3850174425214083
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M15665,8,I,2.8054619316985807,2023-03-06,9999-12-31,22.443695453588646
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M50115526,13,KG,0.1306438712202318,2023-03-06,9999-12-31,1.6983703258630134
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51130304,15,I,0.03695214574804251,2023-03-06,9999-12-31,0.5542821862206376
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51375867,12000,I,0.16156722662485165,2023-03-06,9999-12-31,1938.8067194982198
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51402730,12000,I,0.1550766038231273,2023-03-06,9999-12-31,1860.9192458775276
P100299,CORO FLAV OW 12X33CL BOX FR LW,Bottle,PG35,CORONA,M51419235,1,KG,0.13725537637121635,2024-01-24,9999-12-31,0.13725537637121635
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51073841,1,KG,0.06491686485563852,2023-02-23,9999-12-31,0.06491686485563852
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51130304,24,I,0.04390560523616986,2023-02-23,9999-12-31,1.0537345256680766
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51170192,3,KG,0.10380773406288886,2023-02-23,9999-12-31,0.3114232021886666
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51361448,3,KG,0.15909228064557546,2023-02-23,9999-12-31,0.47727684193672637
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51372196,24000,I,0.23237847299336073,2023-02-23,9999-12-31,5577.083351840657
P100305,"CORO 0,0 OW 4X6 0,33L BOX ME",Bottle,PG35,CORONA,M51417918,24000,I,0.10886773348085509,2023-08-20,9999-12-31,2612.825603540522
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M34906,19,I,2.212937186038628,2023-03-08,9999-12-31,42.045806534733934
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51073841,1,KG,0.05493226653840019,2023-03-08,9999-12-31,0.05493226653840019
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51130304,37,I,0.05024875858206681,2023-03-08,9999-12-31,1.8592040675364718
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51372196,24000,I,0.12970264592471256,2023-03-08,9999-12-31,3112.8635021931013
P100369,"CORO 0,0 OW 4X6 0,33L SE/DK/FI EPAL LW",Bottle,PG35,CORONA,M51393157,3,KG,0.12799089638716077,2023-03-08,9999-12-31,0.3839726891614823
