week,material_id,material_desc,material_group_id,material_group_desc,abcd,reqs,inventory_ultimo,moq
8,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
9,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
10,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
11,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
12,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
13,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
14,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
15,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
16,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
17,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
18,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
19,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
20,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
21,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
22,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
23,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
24,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
25,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
26,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
27,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
28,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
29,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
30,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
31,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,68400,400000
32,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,600000,-531600,400000
33,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,-531600,400000
34,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,200000,-731600,400000
35,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,-731600,400000
36,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,-731600,400000
37,M51212503,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,0,-731600,400000
8,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
9,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
10,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
11,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
12,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
13,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
14,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
15,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
16,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
17,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
18,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
19,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,108142,400000
20,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,200000,-91858,400000
21,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
22,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
23,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
24,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
