material_id,week,material_desc,material_group_id,material_group_desc,abcd,inventory_primo,arrive_primo,reqs,inventory_ultimo,moq
M51212503,8,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,9,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,10,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,11,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,12,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,13,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,14,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,15,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,16,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,17,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,18,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,19,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,20,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,21,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,22,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,23,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,24,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,25,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,26,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,27,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,28,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,29,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,30,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,31,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,0,0,68400,400000
M51212503,32,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,68400,584760,600000,53160,400000
M51212503,33,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,53160,0,0,53160,400000
M51212503,34,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,53160,400000,200000,253160,400000
M51212503,35,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,253160,0,0,253160,400000
M51212503,36,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,253160,0,0,253160,400000
M51212503,37,"CAN BECK INL S_AL 0,33L 0030A DPG MV",MG2030201,ALU NON-EMBOSSED CAN,C,253160,0,0,253160,400000
M51216589,8,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,108142,0,0,108142,400000
M51216589,9,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,108142,0,0,108142,400000
M51216589,10,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,108142,0,0,108142,400000
M51216589,11,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,108142,0,0,108142,400000
M51216589,12,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,108142,0,0,108142,400000
