week,material_id,supplier_id,supplier_desc,moq,inventory_ini,reqs
8,M51104291,S330660,CanPack BNL_DE,400000,0,0
9,M51104291,S330660,CanPack BNL_DE,400000,0,0
10,M51104291,S330660,CanPack BNL_DE,400000,0,0
11,M51104291,S330660,CanPack BNL_DE,400000,0,0
12,M51104291,S330660,CanPack BNL_DE,400000,0,0
13,M51104291,S330660,CanPack BNL_DE,400000,0,0
14,M51104291,S330660,CanPack BNL_DE,400000,0,0
15,M51104291,S330660,CanPack BNL_DE,400000,0,0
16,M51104291,S330660,CanPack BNL_DE,400000,0,0
17,M51104291,S330660,CanPack BNL_DE,400000,0,0
18,M51104291,S330660,CanPack BNL_DE,400000,0,0
19,M51104291,S330660,CanPack BNL_DE,400000,0,0
20,M51104291,S330660,CanPack BNL_DE,400000,0,0
21,M51104291,S330660,CanPack BNL_DE,400000,0,0
22,M51104291,S330660,CanPack BNL_DE,400000,0,0
23,M51104291,S330660,CanPack BNL_DE,400000,0,0
24,M51104291,S330660,CanPack BNL_DE,400000,0,0
25,M51104291,S330660,CanPack BNL_DE,400000,0,0
26,M51104291,S330660,CanPack BNL_DE,400000,0,0
27,M51104291,S330660,CanPack BNL_DE,400000,0,0
28,M51104291,S330660,CanPack BNL_DE,400000,0,0
29,M51104291,S330660,CanPack BNL_DE,400000,0,0
30,M51104291,S330660,CanPack BNL_DE,400000,0,0
31,M51104291,S330660,CanPack BNL_DE,400000,0,0
32,M51104291,S330660,CanPack BNL_DE,400000,0,0
33,M51104291,S330660,CanPack BNL_DE,400000,0,0
34,M51104291,S330660,CanPack BNL_DE,400000,0,0
35,M51104291,S330660,CanPack BNL_DE,400000,0,0
36,M51104291,S330660,CanPack BNL_DE,400000,0,0
37,M51104291,S330660,CanPack BNL_DE,400000,0,0
8,M51136442,S369645,Ardagh BNL,400000,1072410,0
9,M51136442,S369645,Ardagh BNL,400000,1072410,0
10,M51136442,S369645,Ardagh BNL,400000,1072410,0
11,M51136442,S369645,Ardagh BNL,400000,1072410,0
12,M51136442,S369645,Ardagh BNL,400000,1072410,0
13,M51136442,S369645,Ardagh BNL,400000,1072410,0
14,M51136442,S369645,Ardagh BNL,400000,1072410,0
15,M51136442,S369645,Ardagh BNL,400000,1072410,0
16,M51136442,S369645,Ardagh BNL,400000,1072410,0
17,M51136442,S369645,Ardagh BNL,400000,1072410,0
18,M51136442,S369645,Ardagh BNL,400000,1072410,0
19,M51136442,S369645,Ardagh BNL,400000,1072410,0
20,M51136442,S369645,Ardagh BNL,400000,1072410,0
21,M51136442,S369645,Ardagh BNL,400000,1072410,0
22,M51136442,S369645,Ardagh BNL,400000,1072410,0
23,M51136442,S369645,Ardagh BNL,400000,1072410,0
24,M51136442,S369645,Ardagh BNL,400000,1072410,0
25,M51136442,S369645,Ardagh BNL,400000,1072410,0
26,M51136442,S369645,Ardagh BNL,400000,1072410,0
27,M51136442,S369645,Ardagh BNL,400000,1072410,0
28,M51136442,S369645,Ardagh BNL,400000,1072410,0
29,M51136442,S369645,Ardagh BNL,400000,1072410,0
30,M51136442,S369645,Ardagh BNL,400000,1072410,0
31,M51136442,S369645,Ardagh BNL,400000,1072410,0
32,M51136442,S369645,Ardagh BNL,400000,1072410,0
33,M51136442,S369645,Ardagh BNL,400000,1072410,0
34,M51136442,S369645,Ardagh BNL,400000,1072410,0
35,M51136442,S369645,Ardagh BNL,400000,1072410,0
36,M51136442,S369645,Ardagh BNL,400000,1072410,0
37,M51136442,S369645,Ardagh BNL,400000,1072410,0
8,M51156610,S330660,CanPack BNL_DE,400000,532720,0
9,M51156610,S330660,CanPack BNL_DE,400000,532720,0
10,M51156610,S330660,CanPack BNL_DE,400000,532720,0
11,M51156610,S330660,CanPack BNL_DE,400000,532720,0
12,M51156610,S330660,CanPack BNL_DE,400000,532720,0
13,M51156610,S330660,CanPack BNL_DE,400000,532720,0
14,M51156610,S330660,CanPack BNL_DE,400000,532720,0
15,M51156610,S330660,CanPack BNL_DE,400000,532720,0
16,M51156610,S330660,CanPack BNL_DE,400000,532720,0
17,M51156610,S330660,CanPack BNL_DE,400000,532720,0
18,M51156610,S330660,CanPack BNL_DE,400000,532720,0
19,M51156610,S330660,CanPack BNL_DE,400000,532720,0
20,M51156610,S330660,CanPack BNL_DE,400000,532720,0
21,M51156610,S330660,CanPack BNL_DE,400000,532720,0
22,M51156610,S330660,CanPack BNL_DE,400000,532720,0
23,M51156610,S330660,CanPack BNL_DE,400000,532720,0
24,M51156610,S330660,CanPack BNL_DE,400000,532720,0
25,M51156610,S330660,CanPack BNL_DE,400000,532720,0
26,M51156610,S330660,CanPack BNL_DE,400000,532720,0
27,M51156610,S330660,CanPack BNL_DE,400000,532720,0
28,M51156610,S330660,CanPack BNL_DE,400000,532720,0
29,M51156610,S330660,CanPack BNL_DE,400000,532720,0
