Quarter,Channel,Customer ID,Country,Product Line,Revenue,Product Cost,Customer Service Cost,Profit
3,ATM,FRT,USA,Credit Products,6044,3998,413,1633
1,ATM,MRT,USA,Credit Products,4686,3229,643,815
4,ATM,PBI,USA,Deposit Products,6063,7440,1842,-3219
1,ATM,PBI,USA,Deposit Products,4682,6127,1118,-2563
4,ATM,MRT,USA,Deposit Products,6320,7913,1854,-3447
3,BRH,MAM,USA,Deposit Products,2993,1034,242,1718
4,BRH,PBI,USA,Revolving Credit Products,3355,4355,1027,-2027
3,ATM,FRT,USA,Revolving Credit Products,5716,5617,876,-777
4,BRH,PBI,USA,Deposit Products,3347,4229,425,-1307
1,BRH,PBI,USA,Credit Products,2624,1960,264,401
1,ATM,EBP,USA,Credit Products,3629,4650,700,-1722
3,ATM,MRT,USA,Revolving Credit Products,5612,6360,1482,-2230
3,ATM,RPB,USA,Credit Products,4618,2445,417,1756
3,INT,RPB,USA,Revolving Credit Products,2080,1340,140,600
2,BRH,PBI,USA,Credit Products,2788,3432,564,-1208
2,BRH,MAM,USA,Deposit Products,2829,1822,407,600
1,BRH,FRT,USA,Revolving Credit Products,2898,3069,485,-656
2,ATM,MRT,USA,Deposit Products,5232,6487,915,-2171
3,BRH,MRT,USA,Revolving Credit Products,2949,3879,732,-1662
2,ATM,MAM,USA,Deposit Products,5565,3941,421,1202
2,BRH,WEB,USA,Deposit Products,2153,756,121,1277
2,BRH,MAM,USA,Revolving Credit Products,3097,1572,197,1329
2,BRH,WEB,USA,Revolving Credit Products,1920,2182,422,-684
4,BRH,RPB,USA,Deposit Products,3347,1467,330,1549
4,BRH,RPB,USA,Credit Products,4041,1621,196,2224
2,ATM,FRT,USA,Credit Products,5931,3137,406,2388
2,INT,FRT,USA,Credit Products,1605,1555,194,-143
1,BRH,WEB,USA,Deposit Products,2026,1520,366,140
1,BRH,WEB,USA,Credit Products,1687,1579,195,-87
1,ATM,FRT,USA,Credit Products,5075,5700,883,-1508
1,ATM,RPB,USA,Credit Products,4223,2800,504,918
2,BRH,EBP,USA,Credit Products,2456,1547,303,605
3,BRH,WEB,USA,Revolving Credit Products,1924,793,81,1049
3,INT,MAM,USA,Revolving Credit Products,1578,1815,450,-687
3,BRH,WEM,USA,Deposit Products,3235,3564,659,-988
2,ATM,FRT,USA,Revolving Credit Products,5123,3241,689,1193
3,MAL,PBI,USA,Credit Products,1560,1750,241,-431
4,MAL,MAM,USA,Revolving Credit Products,1945,1138,198,609
4,ATM,MAM,USA,Deposit Products,6060,6171,1075,-1186
2,EML,EBP,USA,Revolving Credit Products,1222,1572,324,-673
3,INT,MRT,USA,Credit Products,1660,1697,312,-349
4,BRH,WEB,USA,Deposit Products,3000,2886,416,-302
2,BRH,WEM,USA,Deposit Products,2970,3327,419,-776
3,INT,WEM,USA,Credit Products,1631,1575,296,-239
4,CCT,WEB,USA,Deposit Products,1215,475,49,691
1,CCT,WEM,USA,Deposit Products,1759,884,211,663
1,ATM,EBP,USA,Revolving Credit Products,3285,2980,544,-240
3,EML,MAM,USA,Revolving Credit Products,2048,708,107,1232
3,INT,PBI,USA,Revolving Credit Products,2173,1764,219,190
1,ATM,WEB,USA,Revolving Credit Products,3353,3140,433,-220
2,INT,WEB,USA,Revolving Credit Products,1162,1352,212,-403
1,ATM,HEC,USA,Credit Products,1232,1274,143,-185
4,EML,FRT,USA,Deposit Products,1561,1436,286,-162
3,CCT,WEB,USA,Revolving Credit Products,1123,1206,125,-208
3,INT,PBI,USA,Credit Products,1794,718,79,997
2,CCT,RPB,USA,Revolving Credit Products,1202,827,131,244
4,EML,WEM,USA,Deposit Products,1510,1773,319,-583
1,ATM,WEM,USA,Revolving Credit Products,4472,4993,879,-1399
1,BRH,MRT,USA,Credit Products,2370,1906,249,216
3,BRH,PBI,USA,Revolving Credit Products,2581,2981,322,-722
1,BRH,MAM,USA,Deposit Products,2761,2612,360,-211
4,ATM,RPB,USA,Revolving Credit Products,6371,4998,593,780
4,EML,RPB,USA,Revolving Credit Products,1972,2441,456,-925
4,EML,MRT,USA,Credit Products,1562,826,142,594
1,BRH,WEM,USA,Deposit Products,2742,2815,652,-724
3,ATM,PBI,USA,Deposit Products,4598,3167,351,1080
2,ATM,PBI,USA,Deposit Products,5322,6392,1248,-2318
3,BRH,MAM,USA,Credit Products,3411,4358,597,-1544
1,MAL,FRT,USA,Credit Products,1479,1579,244,-344
3,INT,WEM,USA,Deposit Products,1569,1198,173,199
1,BRH,RPB,USA,Revolving Credit Products,2852,2931,604,-683
3,MAL,WEM,USA,Credit Products,1622,1089,259,274
2,ATM,EBP,USA,Revolving Credit Products,3629,1705,317,1608
1,BRH,PBI,USA,Revolving Credit Products,2505,2556,384,-435
3,CCT,RPB,USA,Credit Products,1596,1232,235,130
1,INT,WEM,USA,Deposit Products,1447,689,113,645
3,MAL,FRT,USA,Revolving Credit Products,1690,1462,261,-34
4,BRH,WEB,USA,Credit Products,2448,1815,384,249
2,CCT,PBI,USA,Revolving Credit Products,1593,1888,299,-594
4,INT,MAM,USA,Revolving Credit Products,1876,1478,237,161
4,ATM,MRT,USA,Revolving Credit Products,6591,5858,1363,-630
2,MAL,PBI,USA,Revolving Credit Products,1611,1092,168,351
2,ATM,MAM,USA,Other Products,1254,545,122,587
3,INT,MAM,USA,Deposit Products,1671,1008,246,418
2,MAL,WEB,USA,Deposit Products,842,981,107,-246
4,MAL,MRT,USA,Credit Products,1529,1477,246,-194
3,INT,WEB,USA,Deposit Products,1439,997,211,231
2,ATM,EBP,Canada,Deposit Products,762,932,136,-305
2,INT,MAM,USA,Credit Products,1959,2150,238,-429
1,ATM,WEM,USA,Deposit Products,4382,2627,371,1384
2,ATM,STF,USA,Revolving Credit Products,1123,523,129,471
4,ATM,IAS,USA,Credit Products,1407,1524,225,-342
2,INT,EBP,USA,Revolving Credit Products,909,1147,269,-508
1,MAL,PBI,USA,Revolving Credit Products,1549,2021,324,-796
4,BRH,WEB,USA,Revolving Credit Products,2161,1531,347,283
1,CCT,WEM,USA,Credit Products,1331,1654,336,-660
4,ATM,MAM,USA,Third Party Products,727,638,81,8
3,INT,PBI,USA,Deposit Products,1462,645,90,727
2,EML,EBP,USA,Deposit Products,1067,1352,214,-499
2,EML,PBI,USA,Credit Products,1876,678,75,1122
4,ATM,CRE,USA,Deposit Products,833,357,71,405
2,BRH,WEB,USA,Credit Products,1675,1192,142,341
4,ATM,INB,USA,Credit Products,1524,1728,237,-441
1,EML,WEB,USA,Deposit Products,1285,939,144,202
4,TEL,WEM,USA,Credit Products,752,853,194,-295
4,INT,WEB,USA,Deposit Products,1406,688,161,557
2,INT,WEB,USA,Credit Products,831,1043,228,-440
1,BRH,EBP,USA,Deposit Products,2018,2598,483,-1063
3,MAL,FRT,USA,Credit Products,1563,1844,317,-598
3,ATM,WEM,USA,Fee Based Products,660,461,91,108
1,ATM,PBI,USA,Credit Products,4821,1808,233,2780
3,BRH,FRT,USA,Revolving Credit Products,3020,1260,297,1463
4,INT,MRT,USA,Credit Products,1800,1811,452,-463
1,CCT,PBI,USA,Credit Products,1572,1718,213,-360
4,CCT,WEM,USA,Revolving Credit Products,1406,512,75,820
3,MAL,RPB,USA,Deposit Products,1224,471,51,702
2,BRH,MRT,USA,Deposit Products,2969,3592,382,-1005
2,MAL,MRT,USA,Revolving Credit Products,1742,637,82,1023
1,MAL,MAM,USA,Deposit Products,1143,1151,180,-188
3,EML,EBP,USA,Credit Products,1694,1757,353,-416
1,INT,MAM,USA,Credit Products,1690,1839,230,-379
2,INT,MRT,USA,Deposit Products,1435,1010,159,267
2,CCT,EBP,USA,Credit Products,1259,586,108,565
4,ATM,CRE,USA,Credit Products,1567,854,87,626
4,BRH,WEM,USA,Fee Based Products,621,461,47,114
1,ATM,MAM,USA,Deposit Products,5212,6441,1185,-2414
4,BRH,FRT,USA,Revolving Credit Products,3718,4070,655,-1006
3,INT,EBP,USA,Credit Products,1293,1417,241,-364
3,MAL,PBI,USA,Deposit Products,1303,1243,238,-179
4,INT,MAM,USA,Deposit Products,1917,1959,313,-354
4,INT,WEM,USA,Deposit Products,2262,799,132,1331
3,ATM,WEB,USA,Credit Products,4553,4418,839,-704
4,ATM,HEC,USA,Revolving Credit Products,1159,1439,352,-632
1,EML,WEM,USA,Revolving Credit Products,1456,1017,165,274
1,BRH,WEM,USA,Revolving Credit Products,2887,1470,290,1127
4,BRH,STF,USA,Revolving Credit Products,624,615,70,-61
1,CCT,FRT,USA,Deposit Products,1414,594,78,741
1,ATM,FRT,USA,Fee Based Products,663,615,123,-75
4,CCT,WEB,USA,Revolving Credit Products,1413,1529,317,-433
1,BRH,EBP,USA,Credit Products,2170,1549,230,391
3,CCT,FRT,USA,Credit Products,1470,694,174,602
1,MAL,WEM,USA,Revolving Credit Products,1340,1339,164,-163
3,MAL,WEB,USA,Revolving Credit Products,860,681,80,99
3,INT,WEM,USA,Revolving Credit Products,1907,715,130,1061
3,TEL,MAM,USA,Revolving Credit Products,1060,943,172,-55
3,MAL,MRT,USA,Revolving Credit Products,1955,2336,367,-748
3,MAL,MRT,USA,Credit Products,1517,1880,402,-765
4,CCT,FRT,USA,Credit Products,1647,2096,294,-743
1,MAL,RPB,USA,Credit Products,1565,1986,239,-660
4,ATM,WEM,USA,Other Products,1191,469,74,648
4,MAL,MAM,USA,Deposit Products,1842,2269,248,-675
2,CCT,FRT,USA,Deposit Products,1226,830,175,220
3,ATM,RPB,USA,Third Party Products,585,685,138,-239
2,INT,WEM,USA,Credit Products,1486,1581,184,-280
3,INT,CAM,USA,Revolving Credit Products,475,366,87,22
2,EML,MAM,USA,Revolving Credit Products,1590,1146,277,168
1,INT,EBP,USA,Revolving Credit Products,1043,474,68,500
4,CCT,MRT,USA,Credit Products,1810,2231,223,-644
2,INT,EBP,USA,Deposit Products,1206,1330,205,-329
1,BRH,MRT,USA,Deposit Products,2594,2980,709,-1096
2,ATM,AGR,Canada,Revolving Credit Products,563,635,65,-137
3,CCT,FRT,USA,Revolving Credit Products,1545,1869,249,-573
2,ATM,MRT,USA,Fee Based Products,906,396,99,411
1,MAL,EBP,USA,Revolving Credit Products,1131,886,168,76
1,MAL,FRT,USA,Deposit Products,1410,492,111,806
1,EML,RPB,USA,Revolving Credit Products,1468,1208,147,113
2,EML,MRT,USA,Revolving Credit Products,1248,1132,185,-69
3,INT,RPB,USA,Deposit Products,1566,2076,303,-813
2,ATM,CRE,USA,Revolving Credit Products,938,862,104,-29
4,TEL,WEM,USA,Deposit Products,742,973,240,-470
3,ATM,EBP,USA,Deposit Products,4216,4896,1058,-1738
2,BRH,RPB,USA,Other Products,647,397,79,171
2,CCT,WEB,USA,Deposit Products,946,837,107,2
