departmentName,day,startTime,endTime
Emergency,Monday,2,8
Emergency,Monday,8,12
Emergency,Monday,12,18
Emergency,Monday,18,2
Consultation,Monday,8,12
Consultation,Monday,12,18
Emergency,Tuesday,8,12
Emergency,Tuesday,12,18
Emergency,Tuesday,18,2
Consultation,Tuesday,8,12
Consultation,Tuesday,12,18
Emergency,Wednesday,2,8
Emergency,Wednesday,8,12
Emergency,Wednesday,12,18
Emergency,Wednesday,18,2
Consultation,Wednesday,8,12
Consultation,Wednesday,12,18
Emergency,Thursday,2,8
Emergency,Thursday,8,12
Emergency,Thursday,12,18
Emergency,Thursday,18,2
Consultation,Thursday,8,12
Consultation,Thursday,12,18
Emergency,Friday,2,8
Emergency,Friday,8,12
Emergency,Friday,12,18
Emergency,Friday,18,2
Consultation,Friday,8,12
Consultation,Friday,12,18
Emergency,Saturday,2,12
Emergency,Saturday,12,20
Emergency,Saturday,20,2
Emergency,Sunday,2,12
Emergency,Sunday,12,20
Emergency,Sunday,20,2
