"Zip";"Area"
"5320";"Agedrup"
"6753";"Agerbæk"
"6534";"Agerskov"
"8961";"Allingåbro"
"6051";"Almind"
"8592";"Anholt"
"8643";"Ans By"
"6823";"Ansager"
"9510";"Arden"
"5466";"Asperup"
"5610";"Assens"
"9340";"Asaa"
"6440";"Augustenborg"
"7490";"Aulum"
"8963";"Auning"
"5935";"Bagenkop"
"8444";"Balle"
"7150";"Barrit"
"8330";"Beder"
"7755";"Bedsted Thy"
"6541";"Bevtoft"
"6852";"Billum"
"7190";"Billund"
"9881";"Bindslev"
"8850";"Bjerringbro"
"6091";"Bjert"
"9492";"Blokhus"
"5491";"Blommenslyst"
"6857";"Blåvand"
"5400";"Bogense"
"6392";"Bolderslev"
"7441";"Bording"
"8220";"Brabrand"
"6740";"Bramming"
"7330";"Brande"
"6535";"Branderup J"
"6261";"Bredebro"
"7182";"Bredsten"
"5464";"Brenderup Fyn"
"6310";"Broager"
"5672";"Broby"
"9460";"Brovst"
"8654";"Bryrup"
"8740";"Brædstrup"
"9700";"Brønderslev"
"6650";"Brørup"
"6372";"Bylderup-Bov"
"6622";"Bække"
"7660";"Bækmarksbro"
"9574";"Bælum"
"7080";"Børkop"
"7650";"Bøvlingbjerg"
"6070";"Christiansfeld"
"5380";"Dalby"
"8721";"Daugård"
"9330";"Dronninglund"
"9352";"Dybvad"
"5631";"Ebberup"
"8400";"Ebeltoft"
"6320";"Egernsund"
"6040";"Egtved"
"8250";"Egå"
"5592";"Ejby"
"7361";"Ejstrupholm"
"7442";"Engesvang"
"7950";"Erslev"
"6700";"Esbjerg"
"6715";"Esbjerg N"
"6710";"Esbjerg V"
"6705";"Esbjerg Ø"
"6720";"Fanø"
"9640";"Farsø"
"5863";"Ferritslev Fyn"
"9690";"Fjerritslev"
"8762";"Flemming"
"7000";"Fredericia"
"9900";"Frederikshavn"
"5871";"Frørup"
"7741";"Frøstrup"
"7884";"Fur"
"6683";"Føvling"
"5600";"Faaborg"
"8990";"Fårup"
"8882";"Fårvang"
"7321";"Gadbjerg"
"8464";"Galten"
"9362";"Gandrup"
"9631";"Gedsted"
"8751";"Gedved"
"5591";"Gelsted"
"6621";"Gesten"
"5854";"Gislev"
"9260";"Gistrup"
"7323";"Give"
"8983";"Gjerlev J"
"8883";"Gjern"
"5620";"Glamsbjerg"
"6752";"Glejbjerg"
"8585";"Glesborg"
"6510";"Gram"
"6771";"Gredstedbro"
"8500";"Grenaa"
"7200";"Grindsted"
"6300";"Gråsten"
"5892";"Gudbjerg Sydfyn"
"5884";"Gudme"
"6690";"Gørding"
"6100";"Haderslev"
"7540";"Haderup"
"8370";"Hadsten"
"9560";"Hadsund"
"9370";"Hals"
"8450";"Hammel"
"7362";"Hampen"
"7730";"Hanstholm"
"7673";"Harboøre"
"8462";"Harlev J"
"5463";"Harndrup"
"8361";"Hasselager"
"8970";"Havndal"
"8722";"Hedensted"
"6094";"Hejls"
"7250";"Hejnsvig"
"6893";"Hemmet"
"6854";"Henne"
"7400";"Herning"
"5874";"Hesselager"
"8382";"Hinnerup"
"9850";"Hirtshals"
"9320";"Hjallerup"
"7560";"Hjerm"
"8530";"Hjortshøj"
"9800";"Hjørring"
"9500";"Hobro"
"7500";"Holstebro"
"6670";"Holsted"
"8543";"Hornslet"
"8783";"Hornsyld"
"8700";"Horsens"
"6682";"Hovborg"
"8732";"Hovedgård"
"5932";"Humble"
"8350";"Hundslund"
"7760";"Hurup Thy"
"6960";"Hvide Sande"
"8270";"Højbjerg"
"6280";"Højer"
"7840";"Højslev"
"8362";"Hørning"
"5683";"Haarby"
"7430";"Ikast"
"6851";"Janderup Vestj"
"7300";"Jelling"
"9740";"Jerslev J"
"9981";"Jerup"
"6064";"Jordrup"
"7130";"Juelsminde"
"7960";"Karby"
"7470";"Karup J"
"5300";"Kerteminde"
"6933";"Kibæk"
"8620";"Kjellerup"
"9270";"Klarup"
"8765";"Klovborg"
"8420";"Knebel"
"6000";"Kolding"
"8560";"Kolind"
"9293";"Kongerslev"
"6340";"Kruså"
"5772";"Kværndrup"
"5550";"Langeskov"
